year,spot,temp(กษ),min temp(กษ),max temp(กษ),rain(mm),The rainy season rain(mm),The rainy season day
"	1907",108,,,,126.6,,
"	1908",108,10.4,5.8,15.7,1066.3,,
"	1909",108,10.6,5.8,16,827,,
"	1910",108,10.3,5.7,15.9,1020.9,,
"	1911",108,10.6,6,15.9,1067,,
"	1912",108,10.1,5.1,15.6,1129.3,,
"	1913",108,10,4.9,15.6,917.5,,
"	1914",108,12,7.7,17,1262.6,,
"	1915",108,10.8,6.6,15.8,1578.3,,
"	1916",108,10.9,6.4,16.5,1710.3,,
"	1917",108,9.8,4.8,15.5,981.7,,
"	1918",108,10.5,5.6,16.1,1132.3,,
"	1919",108,11.1,6,16.8,1176.3,,
"	1920",108,11.4,6.3,16.9,1674.4,,
"	1921",108,10.9,6.1,16.4,971.9,,
"	1922",108,10.8,5.9,16.3,1552.8,,
"	1923",108,10.6,5.7,15.9,1194.7,,
"	1924",108,11,5.8,16.6,1001,,
"	1925",108,10.7,5.8,15.9,1934.1,,
"	1926",108,10.5,5.6,15.6,1822.5,,
"	1927",108,11,5.9,16.3,1269.7,,
"	1928",108,11.1,5.9,16.6,1054.3,,
"	1929",108,11.4,6.2,17.3,1130.2,,
"	1930",108,11.8,6.6,17.4,1626.6,,
"	1931",108,10.9,6.3,16.7,1388.3,,
"	1932",108,11.6,7.2,17.5,941.2,,
"	1933",108,10.5,6.4,15.5,1400.8,,
"	1934",108,10.1,5.8,15.1,1244.6,,
"	1935",108,11.2,6.6,16.7,1202.3,,
"	1936",108,9.8,5.3,15.1,1531.6,,
"	1937",108,11.4,6.9,16.8,1062.7,,
"	1938",108,10.9,6.4,16.3,1058.8,,
"	1939",108,11.7,6.7,17.6,638.7,,
"	1940",108,10.8,6,16.3,2145.1,,
"	1941",108,11.1,6.3,16.8,1063.7,,
"	1942",108,10.9,5.9,16.6,1131,,
"	1943",108,11.7,6.4,17.8,642.9,,
"	1944",108,10.9,6,16.6,1089.1,,
"	1945",108,10.4,5.7,16,1561.7,,
"	1946",108,11.3,6.6,16.9,1519.4,,
"	1947",108,9.6,5,14.8,1496.4,,
"	1948",108,11.7,6.9,17.3,1473.3,,
"	1949",108,11.7,7.4,17.2,623.5,,
"	1950",108,,,,798.2,,
"	1951",108,,,,48.3,,
"	1952",108,,,,1073.9,,
"	1953",108,,,,1372.2,,
"	1954",108,11.4,7.1,16.6,1385.8,,
"	1955",108,11.5,7.1,16.7,1230.7,,
"	1956",108,10.1,5.8,15,1701.1,,
"	1957",108,10.4,6.1,15.7,1220.3,,
"	1958",108,11.6,7.3,16.7,1325.4,,
"	1959",108,12,7.9,17,1370.8,,
"	1960",108,12.1,7.8,17,1188.4,,
"	1961",108,12.4,8.1,17.2,1436.6,224.2,12.2
"	1962",108,11.7,7.3,16.5,986.2,194.3,14.4
"	1963",108,11.3,7.2,16,1626.6,542.6,22.8
"	1964",108,12.2,8.4,16.7,1794,258.8,14
"	1965",108,11.4,7,16.4,1216.3,498.5,20.4
"	1966",108,11.5,7.4,16.3,2018.9,401.3,19.4
"	1967",108,11.6,7.7,16.5,1248.8,301.9,15.9
"	1968",108,11.8,7.6,16.8,1288.2,180.1,10.6
"	1969",108,10.9,7,15.4,1736.8,550.2,28.6
"	1970",108,11.4,7.5,16.1,1708.2,476.8,21.8
"	1971",108,11.5,7.8,16.1,1359.7,356.8,19.1
"	1972",108,11.9,8,16.5,1769.6,227.5,9.6
"	1973",108,12,8.2,16.8,928.1,75.4,4.5
"	1974",108,11.1,7.2,15.9,1250.7,464,25
"	1975",108,12.5,8.6,17.4,1067.4,378.5,18.2
"	1976",108,11.5,7.4,16.4,1109.5,106.7,14.1
"	1977",108,12.3,8.1,17.3,1147.5,173.5,12.5
"	1978",108,12.4,8.4,17.2,1160.9,480.8,21.4
"	1979",108,12.5,8.6,17.2,1279.4,353.8,18.9
"	1980",108,10.8,6.8,15.7,1242.4,467,23.9
"	1981",108,11.2,7.2,15.8,1216.2,387.8,18.2
"	1982",108,12.5,8.3,17.4,949.3,190.1,10.3
"	1983",108,12.4,8.3,16.9,1205.1,340.2,17.7
"	1984",108,11.6,7.6,16.5,1249.5,338.5,16.8
"	1985",108,11.6,7.7,16.2,1544.6,384.5,16.1
"	1986",108,11.2,7.4,15.7,1247.4,359.4,20.6
"	1987",108,11.9,7.9,16.4,1751.4,583,22.2
"	1988",108,12.1,8,16.8,760.8,380.3,18.3
"	1989",108,13,9,17.5,1437.1,405.7,17
"	1990",108,12.8,9,17.1,2355.5,514.5,23.2
"	1991",108,12.3,8.2,17,1158.2,456.6,23.3
"	1992",108,12.5,8.5,16.9,1454.9,173.2,9.9
"	1993",108,12,8.1,16.7,1292.7,382.9,20
"	1994",108,13.5,9.5,18.3,1055.8,136,7.9
"	1995",108,12.2,8.2,16.7,1598.6,213.4,14.1
"	1996",108,12.2,8.3,16.8,1256.6,309.3,15.2
"	1997",108,12.9,8.7,17.7,1210.2,442.9,14
"	1998",108,13.8,9.8,18.4,2349.1,429.3,20.7
"	1999",108,13.2,9,17.8,1733.1,196.3,8.5
"	2000",108,12.7,8.6,17.1,1186.8,234.7,12.8
"	2001",108,12.8,8.9,17.3,1386,388.5,17.4
"	2002",108,12.9,9.1,17.2,1388,261.7,14.8
"	2003",108,12.8,9.2,17,2012,541.6,22.2
"	2004",108,13.3,9.5,17.7,1499.1,320.8,14.7
"	2005",108,12.1,8.4,16.4,1358.4,314.4,15
"	2006",108,13,9.3,17.2,1681.9,704,27
"	2007",108,13.3,9.7,17.5,1212.3,317.4,20.8
"	2008",108,12.9,9.1,17.3,1356.3,379.1,19.8
"	2009",108,12.9,9.1,17.2,1564,560.4,21.3
"	2010",108,12.1,8.5,16.3,2043.5,287.9,20.2
"	2011",108,12,8.4,16.4,2039.3,600.9,19.1
"	2012",108,12.2,8.5,16.7,1646.3,305.1,13.9
"	2013",108,12.5,8.7,16.9,1403.8,427.5,25.2
"	2014",108,13.4,9.3,18.3,808.9,146.2,14.7
"	2015",108,13.6,9.3,18.7,792.1,240.2,17.7
"	2016",108,13.6,9.4,18.5,991.7,341.1,16.1
"	2017",108,13,8.8,18.1,1233.2,296.7,16.9
"	2018",108,12.9,8.8,17.9,1284.1,292.7,10.8
"	2019",108,13.5,9.3,18.5,891.3,299.7,16.4
"	2020",108,13.2,9.4,17.9,1651.1,696.5,28.5
"	2021",108,13.7,9.6,18.5,1186.5,227.5,9.9
"	2022",108,13.2,9.2,18,1775.3,284.1,16.9
